location,Basel
lat,47.54694
lon,7.56892
asl,283.697
variable,Temperature
unit,Â°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20210601T0000,13.350529
20210601T0100,12.360529
20210601T0200,11.670529
20210601T0300,10.880529
20210601T0400,10.080529
20210601T0500,9.580529
20210601T0600,9.310529
20210601T0700,10.910529
20210601T0800,13.200529
20210601T0900,15.530529
20210601T1000,17.830528
20210601T1100,20.250528
20210601T1200,21.79053
20210601T1300,22.87053
20210601T1400,23.97053
20210601T1500,24.590528
20210601T1600,24.88053
20210601T1700,25.000528
20210601T1800,24.840528
20210601T1900,24.47053
20210601T2000,23.70053
20210601T2100,22.250528
20210601T2200,20.32053
20210601T2300,18.14053
20210602T0000,16.95053
20210602T0100,15.360529
20210602T0200,14.620529
20210602T0300,14.350529
20210602T0400,14.180529
20210602T0500,14.0505295
20210602T0600,13.600529
20210602T0700,13.480529
20210602T0800,15.630529
20210602T0900,18.170528
20210602T1000,20.410528
20210602T1100,22.360529
20210602T1200,24.000528
20210602T1300,25.15053
20210602T1400,24.680529
20210602T1500,25.31053
20210602T1600,24.280529
20210602T1700,23.72053
20210602T1800,23.590528
20210602T1900,23.05053
20210602T2000,22.63053
20210602T2100,21.98053
20210602T2200,21.14053
20210602T2300,19.240528
20210603T0000,17.20053
20210603T0100,16.000528
20210603T0200,16.030529
20210603T0300,15.860529
20210603T0400,16.12053
20210603T0500,16.100529
20210603T0600,16.020529
20210603T0700,16.20053
20210603T0800,17.73053
20210603T0900,20.48053
20210603T1000,22.57053
20210603T1100,23.990528
20210603T1200,25.020529
20210603T1300,25.910528
20210603T1400,25.780529
20210603T1500,26.29053
20210603T1600,26.48053
20210603T1700,26.530529
20210603T1800,25.490528
20210603T1900,24.95053
20210603T2000,24.280529
20210603T2100,23.610529
20210603T2200,22.89053
20210603T2300,21.47053
20210604T0000,19.860529
20210604T0100,19.030529
20210604T0200,18.31053
20210604T0300,17.920528
20210604T0400,17.72053
20210604T0500,17.660528
20210604T0600,17.760529
20210604T0700,17.590528
20210604T0800,18.12053
20210604T0900,20.360529
20210604T1000,22.56053
20210604T1100,23.29053
20210604T1200,24.88053
20210604T1300,25.760529
20210604T1400,25.190529
20210604T1500,25.840528
20210604T1600,25.760529
20210604T1700,25.750528
20210604T1800,25.21053
20210604T1900,24.46053
20210604T2000,23.81053
20210604T2100,23.29053
20210604T2200,22.37053
20210604T2300,21.14053
20210605T0000,19.850529
20210605T0100,18.660528
20210605T0200,18.090528
20210605T0300,17.910528
20210605T0400,17.57053
20210605T0500,17.31053
20210605T0600,17.000528
20210605T0700,16.90053
20210605T0800,17.30053
20210605T0900,18.05053
20210605T1000,17.12053
20210605T1100,17.14053
20210605T1200,16.89053
20210605T1300,20.46053
20210605T1400,17.23053
20210605T1500,17.420528
20210605T1600,17.030529
20210605T1700,16.830528
20210605T1800,17.15053
20210605T1900,17.04053
20210605T2000,16.670528
20210605T2100,16.350529
20210605T2200,16.05053
20210605T2300,15.820529
20210606T0000,15.500529
20210606T0100,15.210529
20210606T0200,15.140529
20210606T0300,15.000529
20210606T0400,14.830529
20210606T0500,14.630529
20210606T0600,14.410529
20210606T0700,14.520529
20210606T0800,14.780529
20210606T0900,15.040529
20210606T1000,15.220529
20210606T1100,15.840529
20210606T1200,16.670528
20210606T1300,17.46053
20210606T1400,20.90053
20210606T1500,21.410528
20210606T1600,21.65053
20210606T1700,20.63053
20210606T1800,20.000528
20210606T1900,19.840528
20210606T2000,19.64053
20210606T2100,18.71053
20210606T2200,17.490528
20210606T2300,17.010529
20210607T0000,16.770529
20210607T0100,16.280529
20210607T0200,15.770529
20210607T0300,15.400529
20210607T0400,15.250529
20210607T0500,14.820529
20210607T0600,14.930529
20210607T0700,15.770529
20210607T0800,16.760529
20210607T0900,18.010529
20210607T1000,19.31053
20210607T1100,19.63053
20210607T1200,21.12053
20210607T1300,20.020529
20210607T1400,19.590528
20210607T1500,19.740528
20210607T1600,19.530529
20210607T1700,19.14053
20210607T1800,19.000528
20210607T1900,18.670528
20210607T2000,18.020529
20210607T2100,17.64053
20210607T2200,17.360529
20210607T2300,17.04053
20210608T0000,16.31053
20210608T0100,15.680529
20210608T0200,15.350529
20210608T0300,15.030529
20210608T0400,14.900529
20210608T0500,14.780529
20210608T0600,14.640529
20210608T0700,15.290529
20210608T0800,16.280529
20210608T0900,16.670528
20210608T1000,16.70053
20210608T1100,16.70053
20210608T1200,16.88053
20210608T1300,16.850529
20210608T1400,19.770529
20210608T1500,19.930529
20210608T1600,20.850529
20210608T1700,20.430529
20210608T1800,20.37053
20210608T1900,20.440529
20210608T2000,20.07053
20210608T2100,18.940529
20210608T2200,18.160528
20210608T2300,17.110529
20210609T0000,16.180529
20210609T0100,15.720529
20210609T0200,15.360529
20210609T0300,14.930529
20210609T0400,14.390529
20210609T0500,13.900529
20210609T0600,13.820529
20210609T0700,14.210529
20210609T0800,15.160529
20210609T0900,16.280529
20210609T1000,17.96053
20210609T1100,18.660528
20210609T1200,19.910528
20210609T1300,20.340528
20210609T1400,23.56053
20210609T1500,22.72053
20210609T1600,22.520529
20210609T1700,23.31053
20210609T1800,22.780529
20210609T1900,22.270529
20210609T2000,21.72053
20210609T2100,20.920528
20210609T2200,20.330528
20210609T2300,19.580528
20210610T0000,18.690529
20210610T0100,17.81053
20210610T0200,16.930529
20210610T0300,16.330528
20210610T0400,15.860529
20210610T0500,15.470529
20210610T0600,15.210529
20210610T0700,15.530529
20210610T0800,16.910528
20210610T0900,19.05053
20210610T1000,20.930529
20210610T1100,21.910528
20210610T1200,22.670528
20210610T1300,23.410528
20210610T1400,24.63053
20210610T1500,25.020529
20210610T1600,25.29053
20210610T1700,24.500528
20210610T1800,23.97053
20210610T1900,23.96053
20210610T2000,23.260529
20210610T2100,22.190529
20210610T2200,21.020529
20210610T2300,19.97053
20210611T0000,18.88053
20210611T0100,17.990528
20210611T0200,17.20053
20210611T0300,16.37053
20210611T0400,15.960529
20210611T0500,15.520529
20210611T0600,15.460529
20210611T0700,15.990529
20210611T0800,17.73053
20210611T0900,19.81053
20210611T1000,21.690529
20210611T1100,22.740528
20210611T1200,23.410528
20210611T1300,24.010529
20210611T1400,25.65053
20210611T1500,26.06053
20210611T1600,26.31053
20210611T1700,26.440529
20210611T1800,26.420528
20210611T1900,26.170528
20210611T2000,25.55053
20210611T2100,24.54053
20210611T2200,23.31053
20210611T2300,21.610529
20210612T0000,20.80053
20210612T0100,20.21053
20210612T0200,19.000528
20210612T0300,18.250528
20210612T0400,17.910528
20210612T0500,17.71053
20210612T0600,17.670528
20210612T0700,18.13053
20210612T0800,19.31053
20210612T0900,20.96053
20210612T1000,22.97053
20210612T1100,24.38053
20210612T1200,25.20053
20210612T1300,25.940529
20210612T1400,27.170528
20210612T1500,27.32053
20210612T1600,27.510529
20210612T1700,27.500528
20210612T1800,27.15053
20210612T1900,26.56053
20210612T2000,25.88053
20210612T2100,24.510529
20210612T2200,22.680529
20210612T2300,21.840528
20210613T0000,20.23053
20210613T0100,18.96053
20210613T0200,17.930529
20210613T0300,16.910528
20210613T0400,16.590528
20210613T0500,15.530529
20210613T0600,14.730529
20210613T0700,15.170529
20210613T0800,16.12053
20210613T0900,17.62053
20210613T1000,19.38053
20210613T1100,20.98053
20210613T1200,22.240528
20210613T1300,23.250528
20210613T1400,24.180529
20210613T1500,24.760529
20210613T1600,24.940529
20210613T1700,24.96053
20210613T1800,24.57053
20210613T1900,24.080528
20210613T2000,23.15053
20210613T2100,21.420528
20210613T2200,19.680529
20210613T2300,18.110529
20210614T0000,16.64053
20210614T0100,15.270529
20210614T0200,13.930529
20210614T0300,13.090529
20210614T0400,12.240529
20210614T0500,11.480529
20210614T0600,10.820529
20210614T0700,12.040529
20210614T0800,14.230529
20210614T0900,17.29053
20210614T1000,20.590528
20210614T1100,22.72053
20210614T1200,24.360529
20210614T1300,25.420528
20210614T1400,25.57053
20210614T1500,26.31053
20210614T1600,27.260529
20210614T1700,27.780529
20210614T1800,27.770529
20210614T1900,27.46053
20210614T2000,26.81053
20210614T2100,25.56053
20210614T2200,23.760529
20210614T2300,21.95053
20210615T0000,20.690529
20210615T0100,19.610529
20210615T0200,18.490528
20210615T0300,17.62053
20210615T0400,17.39053
20210615T0500,17.110529
20210615T0600,16.660528
20210615T0700,17.05053
20210615T0800,18.98053
20210615T0900,21.45053
20210615T1000,23.82053
20210615T1100,25.47053
20210615T1200,26.47053
20210615T1300,27.37053
20210615T1400,28.680529
20210615T1500,29.39053
20210615T1600,29.680529
20210615T1700,29.660528
20210615T1800,29.45053
20210615T1900,28.97053
20210615T2000,28.260529
20210615T2100,27.06053
20210615T2200,25.770529
20210615T2300,24.240528
20210616T0000,22.990528
20210616T0100,22.010529
20210616T0200,21.20053
20210616T0300,20.490528
20210616T0400,19.940529
20210616T0500,19.54053
20210616T0600,19.100529
20210616T0700,19.340528
20210616T0800,20.770529
20210616T0900,23.13053
20210616T1000,25.81053
20210616T1100,27.62053
20210616T1200,28.760529
20210616T1300,29.56053
20210616T1400,30.97053
20210616T1500,31.39053
20210616T1600,31.590528
20210616T1700,31.500528
20210616T1800,31.31053
20210616T1900,30.90053
20210616T2000,30.29053
20210616T2100,29.240528
20210616T2200,27.180529
20210616T2300,24.39053
20210617T0000,22.39053
20210617T0100,21.250528
20210617T0200,21.71053
20210617T0300,21.96053
20210617T0400,21.63053
20210617T0500,20.62053
20210617T0600,20.71053
20210617T0700,21.430529
20210617T0800,22.940529
20210617T0900,25.29053
20210617T1000,27.270529
20210617T1100,29.090528
20210617T1200,30.600529
20210617T1300,31.660528
20210617T1400,31.32053
20210617T1500,31.670528
20210617T1600,31.95053
20210617T1700,32.27053
20210617T1800,32.19053
20210617T1900,31.830528
20210617T2000,31.14053
20210617T2100,29.850529
20210617T2200,28.04053
20210617T2300,26.12053
20210618T0000,25.21053
20210618T0100,23.32053
20210618T0200,23.39053
20210618T0300,22.70053
20210618T0400,22.71053
20210618T0500,21.490528
20210618T0600,20.670528
20210618T0700,21.920528
20210618T0800,23.56053
20210618T0900,25.590528
20210618T1000,27.750528
20210618T1100,29.70053
20210618T1200,30.930529
20210618T1300,31.940529
20210618T1400,31.690529
20210618T1500,32.32053
20210618T1600,32.62053
20210618T1700,31.360529
20210618T1800,29.740528
20210618T1900,29.270529
20210618T2000,28.110529
20210618T2100,27.12053
20210618T2200,25.90053
20210618T2300,24.910528
20210619T0000,24.010529
20210619T0100,23.110529
20210619T0200,22.56053
20210619T0300,21.90053
20210619T0400,21.14053
20210619T0500,20.46053
20210619T0600,20.15053
20210619T0700,20.600529
20210619T0800,22.73053
20210619T0900,25.190529
20210619T1000,27.360529
20210619T1100,28.70053
20210619T1200,29.63053
20210619T1300,30.39053
20210619T1400,31.410528
20210619T1500,32.130527
20210619T1600,32.450527
20210619T1700,32.470528
20210619T1800,32.26053
20210619T1900,31.98053
20210619T2000,31.360529
20210619T2100,30.250528
20210619T2200,28.420528
20210619T2300,25.910528
20210620T0000,24.280529
20210620T0100,23.81053
20210620T0200,23.280529
20210620T0300,23.580528
20210620T0400,21.48053
20210620T0500,21.07053
20210620T0600,20.20053
20210620T0700,20.73053
20210620T0800,22.510529
20210620T0900,24.090528
20210620T1000,24.910528
20210620T1100,24.930529
20210620T1200,23.600529
20210620T1300,27.15053
20210620T1400,29.80053
20210620T1500,30.57053
20210620T1600,29.490528
20210620T1700,25.98053
20210620T1800,19.750528
20210620T1900,20.360529
20210620T2000,20.670528
20210620T2100,20.31053
20210620T2200,19.98053
20210620T2300,19.850529
20210621T0000,19.71053
20210621T0100,19.590528
20210621T0200,19.080528
20210621T0300,18.96053
20210621T0400,16.670528
20210621T0500,16.40053
20210621T0600,16.740528
20210621T0700,17.530529
20210621T0800,18.87053
20210621T0900,20.40053
20210621T1000,21.72053
20210621T1100,22.850529
20210621T1200,24.04053
20210621T1300,25.170528
20210621T1400,27.190529
20210621T1500,27.770529
20210621T1600,27.98053
20210621T1700,26.88053
20210621T1800,26.660528
20210621T1900,25.81053
20210621T2000,25.47053
20210621T2100,24.79053
20210621T2200,24.490528
20210621T2300,23.100529
20210622T0000,20.170528
20210622T0100,19.20053
20210622T0200,18.07053
20210622T0300,17.490528
20210622T0400,17.46053
20210622T0500,17.160528
20210622T0600,16.71053
20210622T0700,17.080528
20210622T0800,18.64053
20210622T0900,20.71053
20210622T1000,20.81053
20210622T1100,20.740528
20210622T1200,21.54053
20210622T1300,22.610529
20210622T1400,21.000528
20210622T1500,20.830528
20210622T1600,21.07053
20210622T1700,21.46053
20210622T1800,21.90053
20210622T1900,21.920528
20210622T2000,21.680529
20210622T2100,21.100529
20210622T2200,20.05053
20210622T2300,18.940529
20210623T0000,18.030529
20210623T0100,17.330528
20210623T0200,16.930529
20210623T0300,16.580528
20210623T0400,16.180529
20210623T0500,15.680529
20210623T0600,15.5505295
20210623T0700,15.790529
20210623T0800,16.95053
20210623T0900,17.610529
20210623T1000,18.180529
20210623T1100,18.510529
20210623T1200,19.88053
20210623T1300,20.240528
20210623T1400,24.45053
20210623T1500,23.690529
20210623T1600,23.40053
20210623T1700,22.87053
20210623T1800,22.010529
20210623T1900,20.850529
20210623T2000,18.860529
20210623T2100,17.82053
20210623T2200,17.190529
20210623T2300,16.56053